title,thumbnail,url,color,year,width,height,featured
Rentswatch,assets/images/thumbnails/rentswatch.png,http://rentswatch.pirhoo.com/,,2016,,,FALSE
The Football Tax,assets/images/thumbnails/tft.png,http://thefootballtax.pirhoo.com/,#FFDF54,2016,,,FALSE
Oeko Kostenrechner,assets/images/thumbnails/ok.png,http://jplusplus.github.io/oeko-kostenrechner/,#71BF44,2016,,,FALSE
Future by Trump,assets/images/thumbnails/fbt.png,http://pirhoo.github.io/futurebytrump/,#B20107,2016,,,FALSE
Fledit,assets/images/thumbnails/fledit.png,http://fledit.pirhoo.com,#474244,2015,,,FALSE
Morano 2017,assets/images/thumbnails/morano.png,http://morano2017.com/,#3695ff,2015,,,FALSE
RTS: Parlomètre Roman,assets/images/thumbnails/parlometre.png,http://www.parlometre.ch/,#B5001E,2015,,,FALSE
Journalism++ Graveyard,assets/images/thumbnails/graveyard.png,http://jplusplus.github.io/graveyard/,#2E2E2E,2015,,,FALSE
Google Iframe Scaffolder,assets/images/thumbnails/google.png,http://googletrends.github.io/iframe-scaffolder/,#4285F4,2015,,,FALSE
Diercke GIS,assets/images/thumbnails/diercke.png,http://www.diercke.de/diercke-webgis,#1B2C8A,2015,,,FALSE
The Migrant Files,assets/images/thumbnails/tmf.png,http://www.themigrantsfiles.com/,#A30000,2015,,,FALSE
Radio France : Départementales 2015,assets/images/thumbnails/dep15.png,http://elections.radiofrance.fr/departementales-2015/#/france,#007BC6,2015,,,FALSE
MSF: One year of fight against Ebola,assets/images/thumbnails/ebola.png,https://jplusplus.github.io/msf-ebola/,#E22000,2015,,,FALSE
RSF: Index de la liberté de la presse,assets/images/thumbnails/rsf.png,http://index.rsf.org,#DA032E,2015,,,FALSE
Iframe Scaffolder,assets/images/thumbnails/iframe.png,http://pirhoo.github.io/iframe-scaffolder/,#53BF6B,2014,,,FALSE
Global Witness: The Great Rip off,assets/images/thumbnails/gw.png,http://greatripoffmap.globalwitness.org/,#EC1C24,2014,,,FALSE
Île de France: 10 recettes,assets/images/thumbnails/recettes.png,http://www.iledefrance.fr/fil-actus-region/10-recettes-chefs-gaspiller-moins,#E1C1C2,2014,,,FALSE
AFDAS: carte de presse en 2015,assets/images/thumbnails/afdas.png,http://data.metiers-presse.org/,#4DBFAC,2014,,,FALSE
Île de France: les CFA de votre région,assets/images/thumbnails/idf-cfa.png,http://jplusplus.github.io/idf-cartocfa/,#00ACA8,2014,,,FALSE
Arte: World of Work,assets/images/thumbnails/arte-wow.png,https://arte-wow-production.herokuapp.com,#4A912E,2014,,,FALSE
Detective.io,assets/images/thumbnails/detective.png,http://detective.io,#237490,2014,,,FALSE
